Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2023-03-20,2023,March,20,176.5,175.51,177.68,176.595,177.59,4366983.0
2023-03-21,2023,March,21,177.66,176.28,178.17,177.225,178.01,3812191.0
2023-03-22,2023,March,22,177.84,176.42,179.37,177.89499999999998,176.51,4380780.0
2023-03-23,2023,March,23,176.06,175.02,177.22,176.12,175.65,4655692.0
2023-03-24,2023,March,24,176.53,176.39,179.34,177.865,179.09,3713938.0
2023-03-27,2023,March,27,179.575,179.31,180.65,179.98000000000002,179.49,4078583.0
2023-03-28,2023,March,28,179.33,179.33,180.46,179.895,179.43,2850005.0
2023-03-29,2023,March,29,180.65,179.985,180.91,180.4475,180.67,4495971.0
2023-03-30,2023,March,30,181.0,180.075,181.33,180.7025,180.83,2742969.0
2023-03-31,2023,March,31,182.16,181.32,182.49,181.905,182.3,4480030.0
2023-04-03,2023,April,3,181.9,180.4,182.76,181.57999999999998,182.5,3902505.0
2023-04-04,2023,April,4,182.18,181.1,183.36,182.23000000000002,181.85,3306483.0
2023-04-05,2023,April,5,183.25,183.0604,184.96,184.0102,183.64,3826373.0
2023-04-06,2023,April,6,183.302,183.1,184.74,183.92000000000002,184.36,3389758.0
2023-04-10,2023,April,10,183.83,181.69,183.895,182.79250000000002,183.2,2408256.0
2023-04-11,2023,April,11,183.42,182.76,183.88,183.32,182.92,3586784.0
2023-04-12,2023,April,12,182.69,182.25,183.78,183.015,182.56,3620885.0
2023-04-13,2023,April,13,182.62,182.105,184.61,183.35750000000002,184.38,4303630.0
2023-04-14,2023,April,14,183.335,182.9201,184.02,183.47005000000001,183.51,2573142.0
2023-04-17,2023,April,17,184.19,183.4808,184.75,184.1154,184.45,3203941.0
2023-04-18,2023,April,18,184.77,183.74,185.2199,184.47995,184.83,2438554.0
2023-04-19,2023,April,19,185.2401,184.255,185.32,184.7875,184.72,2209904.0
2023-04-20,2023,April,20,184.84,184.2,186.035,185.1175,185.33,3868174.0
2023-04-21,2023,April,21,185.99,185.13,186.38,185.755,185.41,3781932.0
2023-04-24,2023,April,24,186.5,185.02,186.57,185.79500000000002,185.5,3540199.0
2023-04-25,2023,April,25,186.56,186.24,190.18,188.21,189.71,6231626.0
2023-04-26,2023,April,26,188.48,187.87,189.42,188.64499999999998,188.54,4424409.0
2023-04-27,2023,April,27,188.18,187.51,189.95,188.73,189.69,4574524.0
2023-04-28,2023,April,28,189.9,189.64,191.62,190.63,190.89,4608944.0
2023-05-01,2023,May,1,190.45,190.28,192.325,191.3025,191.68,3137839.0
2023-05-02,2023,May,2,191.36,189.75,192.5,191.125,192.25,3712247.0
2023-05-03,2023,May,3,192.58,191.78,193.25,192.515,192.18,3389644.0
2023-05-04,2023,May,4,193.08,192.155,193.95,193.0525,193.38,4267611.0
2023-05-05,2023,May,5,192.82,192.39,194.48,193.435,194.27,4146515.0
2023-05-08,2023,May,8,193.4,192.65,194.0,193.325,193.35,2249855.0
2023-05-09,2023,May,9,193.86,192.71,194.67,193.69,194.14,3087644.0
2023-05-10,2023,May,10,194.11,192.6749,195.58,194.12745,194.27,4352899.0
2023-05-11,2023,May,11,194.28,192.9975,195.52,194.25875000000002,195.34,3690431.0
2023-05-12,2023,May,12,195.34,194.95,196.22,195.58499999999998,196.12,2740969.0
2023-05-15,2023,May,15,196.57,194.0,196.88,195.44,194.27,2946589.0
2023-05-16,2023,May,16,194.48,192.54,194.48,193.51,193.43,5803757.0
