Date,Year,Month,Day,Open Price,Low Price,High Price,AVG Price,Close Price,Volume
2022-07-28,2022,July,28,103.25,102.71,104.97,103.84,104.9,6167082
2022-07-29,2022,July,29,105.14,103.37,106.34,104.855,106.1,7888595
2022-08-01,2022,August,1,104.87,103.86,106.65,105.255,106.22,5544631
2022-08-02,2022,August,2,105.74,104.62,106.36,105.49000000000001,104.71,6292554
2022-08-03,2022,August,3,105.73,105.73,109.7,107.715,109.02,8483769
2022-08-04,2022,August,4,108.92,107.66,109.45,108.555,108.12,5342012
2022-08-05,2022,August,5,106.81,105.37,107.7,106.535,106.63,7409632
2022-08-08,2022,August,8,108.21,107.9,111.23,109.565,109.11,8952538
2022-08-09,2022,August,9,109.22,107.03,109.22,108.125,108.13,6626147
2022-08-10,2022,August,10,112.48,109.91,112.67,111.28999999999999,112.43,14210949
2022-08-11,2022,August,11,122.21,117.33,123.27,120.3,117.69,40383098
2022-08-12,2022,August,12,119.0,118.92,121.61,120.265,121.57,16794208
2022-08-15,2022,August,15,121.0,120.99,125.96,123.475,124.26,19539367
2022-08-16,2022,August,16,124.73,123.45,126.48,124.965,124.96,12675856
2022-08-17,2022,August,17,123.45,122.57,124.48,123.525,122.81,6892985
2022-08-18,2022,August,18,123.01,121.71,123.13,122.41999999999999,122.67,5359991
2022-08-19,2022,August,19,121.25,119.48,121.39,120.435,120.14,6715573
2022-08-22,2022,August,22,117.7,115.69,118.21,116.94999999999999,115.94,8463556
2022-08-23,2022,August,23,115.98,114.62,116.37,115.495,114.86,5678643
2022-08-24,2022,August,24,114.67,114.1,117.16,115.63,116.41,6532964
2022-08-25,2022,August,25,117.02,116.12,117.77,116.945,117.46,5382227
2022-08-26,2022,August,26,117.47,113.89,118.37,116.13,114.07,6600352
2022-08-29,2022,August,29,112.54,112.41,114.47,113.44,113.53,5171578
2022-08-30,2022,August,30,114.28,111.45,114.75,113.1,112.43,7062767
2022-08-31,2022,August,31,112.87,111.85,113.75,112.8,112.08,4949674
2022-09-01,2022,September,1,111.79,110.03,112.59,111.31,112.53,5706427
2022-09-02,2022,September,2,113.05,110.84,113.89,112.36500000000001,111.2,6381441
2022-09-06,2022,September,6,111.77,108.52,111.78,110.15,110.09,7858723
2022-09-07,2022,September,7,109.87,109.87,112.96,111.41499999999999,112.69,6113561
2022-09-08,2022,September,8,111.07,110.36,112.99,111.675,112.33,5602027
2022-09-09,2022,September,9,113.27,113.19,115.53,114.36,115.18,7097111
2022-09-12,2022,September,12,116.14,115.27,117.49,116.38,116.39,5195705
2022-09-13,2022,September,13,113.05,111.17,113.82,112.495,111.76,7629865
2022-09-14,2022,September,14,111.85,109.88,112.74,111.31,112.5,5923884
2022-09-15,2022,September,15,112.39,110.71,114.41,112.56,110.77,7734364
2022-09-16,2022,September,16,109.21,106.96,109.58,108.27,108.25,12093970
2022-09-19,2022,September,19,107.53,107.04,109.22,108.13,109.17,6286187
2022-09-20,2022,September,20,108.28,106.86,108.41,107.63499999999999,107.57,5181060
2022-09-21,2022,September,21,107.39,104.49,108.04,106.265,104.49,7361141
2022-09-22,2022,September,22,104.21,102.02,104.66,103.34,102.16,8064349
2022-09-23,2022,September,23,100.62,98.02,101.18,99.6,99.5,9764055
2022-09-26,2022,September,26,98.95,98.06,100.66,99.36,98.12,7683231
2022-09-27,2022,September,27,99.53,95.43,99.64,97.535,95.85,9648783
2022-09-28,2022,September,28,95.79,95.45,99.87,97.66,99.4,8700207
2022-09-29,2022,September,29,98.53,96.23,98.6,97.41499999999999,97.45,6912151
2022-09-30,2022,September,30,96.5,94.28,97.48,95.88,94.33,9297031
2022-10-03,2022,October,3,95.73,94.5,97.78,96.14,97.13,6373814
2022-10-04,2022,October,4,98.68,98.23,101.52,99.875,101.44,7242654
2022-10-05,2022,October,5,100.04,98.7,101.22,99.96000000000001,100.8,5550624
2022-10-06,2022,October,6,100.43,99.87,101.45,100.66,100.04,4938319
2022-10-07,2022,October,7,98.51,96.45,98.8,97.625,97.16,5252634
2022-10-10,2022,October,10,97.59,94.42,97.74,96.08,95.16,5672458
2022-10-11,2022,October,11,94.81,92.65,95.06,93.855,93.1,6634167
2022-10-12,2022,October,12,93.16,92.2,94.07,93.13499999999999,93.41,4854003
2022-10-13,2022,October,13,91.57,90.71,96.97,93.84,96.64,7969998
2022-10-14,2022,October,14,97.47,94.33,98.09,96.21000000000001,94.45,5591610
2022-10-17,2022,October,17,96.38,96.28,97.97,97.125,97.33,6055069
2022-10-18,2022,October,18,99.87,97.64,100.37,99.005,98.48,6063932
2022-10-19,2022,October,19,100.44,98.5,101.87,100.185,98.99,9238323
2022-10-20,2022,October,20,98.23,98.11,100.75,99.43,98.59,5905899
2022-10-21,2022,October,21,98.35,97.89,102.3,100.095,102.04,7719757
2022-10-24,2022,October,24,102.12,100.12,103.19,101.655,101.72,6423428
2022-10-25,2022,October,25,102.16,102.03,104.73,103.38,104.36,6330012
2022-10-26,2022,October,26,103.53,103.53,107.43,105.48,104.63,6976161
2022-10-27,2022,October,27,105.81,104.31,106.87,105.59,104.44,6439434
2022-10-28,2022,October,28,104.08,103.53,106.09,104.81,105.95,6345003
2022-10-31,2022,October,31,105.66,104.82,106.9,105.86,106.54,6665003
2022-11-01,2022,November,1,107.7,105.64,108.84,107.24000000000001,106.0,5583642
2022-11-02,2022,November,2,105.45,101.79,106.08,103.935,101.82,6789302
2022-11-03,2022,November,3,100.2,98.56,100.7,99.63,99.25,6713476
2022-11-04,2022,November,4,101.15,98.11,101.16,99.63499999999999,99.58,8122139
2022-11-07,2022,November,7,100.88,98.99,101.56,100.275,100.49,6867906
2022-11-08,2022,November,8,100.49,98.05,101.97,100.00999999999999,99.96,11970202
2022-11-09,2022,November,9,99.95,86.28,99.97,93.125,86.77,48947469
2022-11-10,2022,November,10,86.76,86.74,90.5,88.62,90.44,29501047
2022-11-11,2022,November,11,90.43,90.43,95.58,93.005,95.02,16597890
2022-11-12,2022,November,12,95.04,95.01,95.04,95.025,95.01,2468224
